function	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
RXN0-1861	3472.96	671.6200000000001	5847.53	15159.7	2617.2200000000003	2837.3	16637.17	2610.12	7304.4	11682.000000000002	1725.48	4237.81	23.0	522.88	90.77	2.0	952.37	1514.38	53.83	168.24	485.79	199.51	393.33	4009.82	2656.92	7692.4	9017.86	2969.82	2008.9	15332.26	1423.73	5553.29	11688.67	2263.0600000000004	4738.42	892.1199999999999	1608.1	1546.33	129.92000000000002	113.5	687.1800000000001	496.29	124.4	1920.92	400.98	98.2	1342.14	41.69	1009.34	1386.91	314.21	676.25	3226.34	94.21	341.0	2364.4300000000003	215.0	671.29	1860.47	504.02	492.42	204.0	1460.04
RXN0-1862	3472.96	671.6200000000001	5847.53	15159.7	2617.2200000000003	2837.3	16637.17	2610.12	7304.4	11682.000000000002	1725.48	4237.81	23.0	522.88	90.77	2.0	952.37	1514.38	53.83	168.24	485.79	199.51	393.33	4009.82	2656.92	7692.4	9017.86	2969.82	2008.9	15332.26	1423.73	5553.29	11688.67	2263.0600000000004	4738.42	892.1199999999999	1608.1	1546.33	129.92000000000002	113.5	687.1800000000001	496.29	124.4	1920.92	400.98	98.2	1342.14	41.69	1009.34	1386.91	314.21	676.25	3226.34	94.21	341.0	2364.4300000000003	215.0	671.29	1860.47	504.02	492.42	204.0	1460.04
RXN0-1922	2979.39	12597.72	2310.03	2859.9	8588.36	3351.8	2332.57	4792.099999999999	3097.4	2899.0	8589.08	6864.5	1186.7999999999995	10792.23	5195.36	392.85	4496.83	1622.5	2849.630000000001	22810.08	5865.87	5557.62	2588.32	1466.22	5288.46	1916.4	1706.22	3126.4200000000005	1820.25	3177.74	10909.61	2830.1900000000005	1137.1	2128.6	4464.29	933.84	6885.45	77932.31000000001	2685.21	6820.0	71773.78	21138.89	3758.57	3416.99	38430.34	7926.129999999999	22363.94	637.74	65139.24	16709.11	9753.81	6759.05	8344.16	4775.56	11703.07	8934.33	8184.9	4365.49	8496.27	14841.169999999998	2261.37	7661.87	9090.51
RXN0-2001	2724.96	2508.62	2025.53	3565.2	2278.2200000000003	1683.0500000000002	1985.67	403.12	978.4	2869.67	1269.98	1334.81	402.0	710.8800000000001	631.77	209.0	102.37	441.38	257.33	471.24	635.79	339.51	1101.33	5259.82	4510.92	1373.9	1752.86	1624.8200000000002	1193.9	2013.26	1411.73	892.79	1883.17	615.06	1596.17	706.62	80.1	1114.33	659.9200000000001	781.5	1174.18	523.79	1085.4	120.42	2098.23	1031.03	459.14	809.1899999999999	1465.34	2726.91	478.21	2148.25	576.34	506.21	2236.0	462.43	908.0	1584.29	427.47	1279.02	2457.42	1667.0	1561.54
RXN0-2023	451092.27	469902.37	551648.01	447987.47	513008.21	394801.09	390727.91	390260.86	454328.54	524697.59	478835.5	488085.31	277028.02	450062.18000000005	447170.02	278668.78	384547.17	530696.63	368924.87	529119.28	457053.75	398674.01	334282.43000000005	447620.88	574135.67	476954.91	467696.67999999993	328573.52	354947.99000000005	676339.74	499667.11	564995.3200000001	487329.77	560888.04	568823.96	360998.7	352583.98000000004	451388.43	374727.91	429635.59	437600.61	357715.62	351752.06	266251.41	435874.76	365092.77	491684.34	358913.17	574171.04	429194.42	342349.91000000003	537223.9099999999	356756.47	328129.55	455737.04	268109.78	290020.49	343527.8	249908.95	438779.23	352956.89	262256.5	387430.59
RXN0-2042	117124.34	76308.26	84251.84	99205.68	104038.56	65114.92	111218.5	50084.76	100040.5	120909.9	114252.3	90661.68	103441.34	392169.44	123522.76	79006.0	324450.24	153221.76	181510.6	426931.82	222657.72	334434.26	148489.86	141290.0	54298.9	59245.5	112345.52	35054.5	43686.0	171268.14	73081.26	87089.34	106168.84	46588.34	102205.68	217348.66	237895.86	344488.43000000005	106027.82	137577.0	344655.92000000004	201884.78	146365.84	251598.58	223478.91	175057.44	358564.54000000004	86589.5	201044.24	157990.48	85610.8	177862.18	108585.18	75511.58	136930.02	62629.94	67902.66	107411.66	63735.68	117473.02	105672.76	75270.98000000001	119693.99
RXN0-2044	1009659.46	955276.7	1324743.65	939974.75	1140855.17	870466.58	837746.9600000001	812065.6699999999	984657.42	1103935.86	978638.7100000002	1013164.64	534288.15	762193.21	833475.01	506296.67	645673.44	978162.4	699183.03	893389.6	867265.55	718624.56	639979.14	1054919.56	1277645.63	1100930.31	1084904.52	698532.88	780976.28	1416293.61	932531.35	1206577.44	1096551.35	1288304.86	1162927.7999999998	738984.84	662106.3500000001	983246.35	725446.8700000001	864246.65	944372.78	735885.49	712898.45	480357.77	924726.3	752386.1100000001	992176.13	656776.72	1372813.22	1029706.03	732131.44	1138858.19	747387.85	710972.9	957352.93	555788.13	640633.41	757028.5	510396.50000000006	987329.06	817863.74	552894.59	819968.97
RXN0-2101	13.56	129.84	16.44	22.28	563.9499999999999	7.52	6.71	129.8	21.24	15.32	377.32	577.64	16.0	993.38	105.4	5.0	266.48	107.52	11.0	554.84	465.37	564.49	78.33000000000001	6.279999999999999	110.25	16.68	23.64	103.44	6.279999999999999	0.43	259.28000000000003	104.16	3.33	37.87	25.0	73.28	177.62	2773.5	48.55	35.6	2321.5	495.4500000000001	61.28	183.34	695.31	182.31	551.92	75.87	1390.42	308.6	153.2	23.67	175.75	26.52	1.4	93.44	27.0	9.96	126.39	302.68	40.48	42.67999999999999	115.47
RXN0-2142	1483840.41	1487723.63	1723885.99	1444068.16	1647290.29	1236999.63	1413555.26	1328300.76	1591473.9300000002	1906318.88	1665882.62	1620105.54	944173.11	1434455.6	1481342.36	938978.2	1210199.27	1713754.96	1210902.61	1648441.91	1631651.38	1305156.17	1159103.67	1558434.7999999998	1730674.55	1521392.47	1575189.96	1036454.13	1133322.33	2467794.15	1665445.83	1970186.28	1627121.0099999998	1747626.3	1841494.01	1335893.77	1127108.46	1872806.15	1239181.56	1524945.0699999998	1788594.31	1333126.78	1208339.12	877523.9199999999	1699842.53	1373367.57	1825073.43	1179611.26	2217419.13	1581916.0	1072034.43	1938361.09	1154231.75	1146647.7799999998	1602731.37	886022.0199999999	943822.07	1241847.2200000002	789491.97	1574413.53	1278292.08	883472.49	1306615.99
RXN0-2144	878601.3	894108.4	1076289.58	849221.2599999999	988932.59	768681.79	733437.89	756932.95	880163.28	1006573.04	919861.55	939188.82	535276.14	865406.22	865793.04	543289.28	750324.6900000001	1037484.69	718704.32	977388.87	877251.1299999999	776208.06	647819.05	876721.0599999999	1117300.61	924635.02	906492.56	637859.25	697250.36	1305380.81	959435.11	1103570.8099999998	931251.85	1103065.31	1106080.99	711896.89	677053.4600000001	880973.8200000001	731618.0900000001	821310.38	837369.44	692192.33	686287.86	515846.35	836681.3400000001	709732.77	963666.39	703853.39	1111150.11	839067.3099999999	650083.2	1045930.73	678406.59	637796.4	871859.5700000001	502188.47	552883.9299999999	671603.4299999999	466305.58	855570.02	691867.73	494466.38	742193.5399999999
RXN0-2145	575776.3300000001	591003.75	664288.62	566844.02	640240.4299999999	477538.14	507855.27	471297.8500000001	553775.2	683393.45	612117.4400000001	606537.1900000001	393103.1	674953.19	566969.77	371169.96	576727.5599999999	693529.8799999999	511406.75	786743.79	653095.5	606516.1000000001	457350.88	568465.59	663492.95	565163.22	598784.48	388398.73	421761.31	847941.55	597363.81	694061.52	641794.64	655620.48	716698.44	530478.06	518210.4900000001	676702.24	493211.17	567127.91	677476.38	506014.57	470892.3000000001	411513.53	608367.54	513689.45000000007	734028.6699999999	472038.75	775450.6499999999	584569.13	452212.54	714548.32	484771.29	443531.36	585254.64	356476.04	364276.16	452674.53	326956.71	581244.9299999999	480700.97	341071.0	501034.53
