function	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	643655.62	667393.5800000001	733368.24	649682.52	690794.99	555797.88	563669.5	560368.64	634081.27	741881.6	666252.33	697848.16	407669.77	646293.4299999999	630266.71	428055.95	556531.5	779523.51	535482.97	725145.1799999999	662321.96	562382.2	470351.38	659713.95	770572.36	641680.55	671214.48	466403.51	505919.32	958341.48	767983.6000000001	814408.51	726829.5	746237.92	843429.44	515670.39	494622.62	615612.45	542061.13	580299.04	584848.0700000001	470306.23	488805.83	364903.86	591909.8799999999	517843.2400000001	655723.8	530475.77	754992.84	618783.83	460348.42	743648.55	499059.62	465534.8	594094.67	371622.01	391173.04	465574.72	346525.24	608044.39	509017.52	353546.01	518927.34
1.1.1.127-RXN	193249.93	170844.34	327424.78	183851.3	239823.27	192744.39	159748.02000000002	178713.31	196259.8	167312.71	182030.67	198449.73	46113.48	41510.83	93000.77	63648.18000000001	34561.31	102145.32	65288.08	52039.65	99639.21	55561.05	68397.64	203453.38	282727.87	274052.67000000004	243695.03	141893.58000000002	184565.07	194642.79	179839.21000000002	240121.24	237388.88	292789.75999999995	222477.04	78616.7	68945.54000000001	162999.12	92544.08	107210.78	135449.53	82431.85	76518.98	33845.880000000005	153808.94	86568.18	103252.13	54361.67	282508.48	228095.44	132035.44	138156.66	128478.99	121113.04	110282.44	91210.36000000002	129173.51	110038.0	90445.68	162662.1	154156.91	94358.48	138999.07
1.1.1.136-RXN	18768.25	21174.03	10668.43	20806.42	29094.09	10635.82	17795.25	10220.04	11723.21	26240.01	36897.8	21934.49	38174.0	183674.39	55391.1	32292.42	154796.14	71945.87	73973.54000000001	193924.35	98603.93	158420.76	68107.12	19034.25	11037.42	7020.0	15720.18	7149.960000000001	7192.75	25988.6	12893.82	9338.92	16620.82	6480.389999999999	24073.39	86788.04999999999	104341.9	102880.11	45059.74	54868.25	105267.85	75701.18	46645.68	118909.16	74961.08	60554.08	142014.52	37208.68	29652.89	16510.510000000002	25930.58	41045.5	35308.33	18409.17	30452.82	20510.36	13708.0	23963.5	20821.0	16809.96	16460.92	21666.94	35993.71
1.1.1.145-RXN	24.5	177.67	73.0	30.33	457.67	35.0	14.5	89.0	42.0	26.5	429.83	612.1700000000001	0.0	1334.83	137.32999999999998	10.0	191.25	82.83	61.0	297.92	1004.16	562.0	533.6700000000001	6.0	257.84000000000003	6.0	62.83	24.5	40.0	10.0	160.0	132.5	20.0	102.17	204.0	60.92	54.83	207.5	33.84	39.5	257.5	127.0	73.5	108.5	441.83	17.5	95.0	3.0	256.0	13.5	345.5	77.5	113.17	50.0	18.67	168.5	6.5	0.0	43.0	70.0	118.17	95.0	87.17
1.1.1.178-RXN	0.0	0.0	0.75	0.0	90.0	0.0	0.0	0.0	0.0	0.0	18.0	66.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	22.0	0.0	7.0	29.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	40.0	0.0	69988.0	0.0	6.0	58001.0	15665.0	0.0	0.62	27577.0	6418.0	17670.0	0.0	54236.0	13613.33	28.0	0.0	0.0	4.75	0.0	0.0	0.0	0.0	15.0	11237.0	0.0	0.0	0.0
1.1.1.211-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	13.0	2635.0	0.0	0.0	2838.0	685.0	0.0	0.0	1094.0	395.0	976.0	0.0	1627.0	335.0	10.0	0.0	26.0	0.0	0.0	24.0	0.0	0.0	5.0	514.0	0.0	0.0	0.0
1.1.1.215-RXN	49690.12	27886.54	44676.33	46512.66	26049.35	33306.869999999995	54678.58	19707.3	49454.52	52491.27	26108.52	33550.51	12727.67	10088.55	7313.17	6750.13	5864.42	5514.74	11975.08	11613.9	9599.47	6694.09	9474.21	71279.48999999999	32161.77	33322.9	54072.41	16796.64	22050.64	80077.36	35308.01	45908.67	55243.740000000005	28228.49	42970.94	21804.230000000003	8512.78	119815.99	8522.8	13444.49	104643.49	37720.61	27194.08	3590.3	66635.8	36922.36	39121.25	5690.64	111251.59	84545.85	11668.14	51211.240000000005	10516.84	19488.2	43779.9	10955.62	24936.590000000004	34286.38	10208.55	57641.82	44511.75	22686.45	24524.51
1.1.1.251-RXN	1.29	7.71	1.86	0.57	25.64	0.0	1.57	13.57	0.0	1.71	18.79	10.57	0.0	120.04999999999998	16.28	0.0	24.0	3.0	1.0	6.57	30.47	38.43	3.14	3.57	7.96	3.57	1.42	7.86	0.57	0.0	43.57	2.29	0.0	5.14	5.0	10.24	10.43	25.14	5.38	1.5	17.29	2.57	1.57	3.71	9.86	1.14	6.86	1.86	4.86	3.0	5.43	2.0	29.0	1.0	0.0	21.29	0.0	2.29	15.14	4.14	2.29	3.29	12.0
1.1.1.253-RXN	378357.03	338945.68999999994	609176.58	338698.24	474559.21	353546.69	254946.3	302302.15	358435.94999999995	363835.49	354227.1	370598.0	145458.98	237897.98	280902.27	130170.11	207974.9	317595.02	200434.24	256532.45	253591.86	238130.96	207612.77	360744.47	584995.9	492921.39	419838.56000000006	285279.0	323108.21	448168.48	275643.53	438308.15	386209.95	590653.26	411404.1499999999	207633.49	219034.96	304398.31	241962.92	263683.72	275063.35	246382.55	220554.29	172493.72999999998	289676.56	203943.22	325573.80000000005	191299.42	497998.81	352453.49000000005	278788.2	359555.09	261527.2	242079.08	316556.08	190538.17	237980.84	255489.04	175573.13	339655.95000000007	266030.81	183260.13	288478.97000000003
1.1.1.261-RXN	59.29	343.46	140.86	66.57	574.92	92.63	82.43	611.17	47.14	86.83	1023.66	655.23	0.0	1883.94	197.6	28.0	234.87	609.17	85.3	429.23	4247.27	824.3100000000001	1255.5	14.82	542.4	236.57	60.86	320.11	57.57	52.86	691.57	51.02	38.0	155.03000000000003	220.25	96.82	89.16999999999999	891.79	28.28	64.5	1014.52	782.7900000000001	65.57	554.13	1013.4	241.53	430.19	186.47000000000003	838.23	189.91000000000005	239.55	131.25	215.25	54.88	56.0	571.93	116.0	22.29	279.64	216.56	112.42	192.17	90.94
1.1.1.264-RXN	2515.91	3795.34	4745.53	4669.17	5968.110000000001	4338.48	3719.730000000001	2694.07	4208.97	4109.450000000001	6062.87	5441.92	548.3299999999999	2586.6000000000004	993.2	413.61	437.33	890.16	843.12	1292.34	4075.23	1242.35	2955.15	3507.92	6450.07	3785.08	3646.89	1971.43	3019.4	2709.51	4223.23	4707.13	4619.38	3229.49	4129.77	2425.67	1034.77	10967.88	715.47	1045.93	11424.2	3534.38	1072.75	629.16	7656.9	2978.98	4316.56	488.4	8319.0	4407.969999999999	2564.06	1211.93	1413.07	1430.73	994.5	1130.53	1926.93	949.84	1912.5	2640.03	1935.18	2217.8	2034.17
1.1.1.271-RXN	140826.09000000003	155319.62	156337.11	154301.6	154448.69	146026.7	152823.87	197709.46	175844.96	164935.91	200692.6	210605.81	125049.92	206300.8	205077.32	175636.79	176147.76	246238.31000000003	185369.62	229954.53	192782.04	168466.44	140646.1	144903.07	172643.15000000002	177224.90000000002	161309.51	124933.5	161704.74	206167.83	293993.89	242495.29	187160.24	184590.56	257485.42	169171.77000000002	131509.32	160081.45	167637.68	190945.33	125728.36	111974.52	128757.5	98880.48	172107.32	156996.44	171461.40999999997	179302.69	146884.43	143668.24	85224.44	153509.89	110522.84	102492.35	113504.66	68833.43	86329.61	101660.4	75945.53	122346.92	120071.57	79893.67	121834.59
1.1.1.272-RXN	6.0	0.0	10.0	0.0	17.0	0.0	0.0	10.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	32.0	0.0	0.0	0.0	32.0	23.0	0.0	6.0	8.0	0.0	75.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	6.0	31.0	0.0	0.0	0.0	0.0	0.0	26.0	12.0	0.0	0.0	0.0	26.0	7.0	0.0	5.0	21.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
1.1.1.289-RXN	338.33000000000004	136.32999999999998	241.67	309.66	103.0	162.0	413.66	98.0	276.33000000000004	361.34	136.0	363.34	156.67000000000002	80.33	101.67	17.0	51.0	25.33	239.66000000000005	54.33	89.0	9.0	61.67	234.0	119.0	199.34	248.66	45.0	86.66	310.0	94.34	263.34000000000003	309.0	124.33	170.34	59.34	38.33	24.33	50.67	248.33	43.0	69.66	147.67000000000002	9.67	110.33	160.66	121.0	17.0	288.0	1157.66	103.67	220.66000000000005	53.66	111.33	320.0	76.0	209.66000000000005	238.0	70.0	340.73	403.33	231.34	133.34
1.1.1.291-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.292-RXN	13452.33	4711.0	14550.67	15196.66	6007.0	7037.0	13704.66	4113.0	9992.33	15548.34	5637.67	9979.34	5161.67	2684.33	7515.67	5308.0	2331.0	11692.33	3288.66	2112.0	5394.0	2424.0	3975.67	17573.0	9257.0	12684.34	19586.66	5043.0	6546.66	26138.17	5071.34	12574.34	23833.0	10978.0	11910.34	2747.34	1676.33	76511.33	8154.67	8270.33	63642.0	19715.66	4167.67	1145.67	33168.83	11698.33	22875.0	5587.0	60881.0	22911.66	1990.67	9242.66	1840.33	2624.66	5034.67	1514.5	2637.66	5162.0	1616.0	17464.33	5805.33	2009.34	2800.01
1.1.1.34-RXN	267106.07	268365.79	509539.4	246028.08	391474.97	286674.2	155933.21000000002	242803.06	236009.6	197081.49	252993.89	274809.08	43824.43	62945.420000000006	127580.5	62176.26	59843.66	156341.58000000002	69435.09	88673.48000000001	149768.46999999997	98982.86	85862.34	249094.63	471258.7	407046.09	327400.32	229742.32	274502.68	189767.91	214466.07	321884.94	304317.35	468902.51	322474.84	74029.91	121511.08	178660.99000000002	135497.05	134628.47000000003	155662.44	98643.8	84392.15	56129.37999999999	158922.56	67797.73000000001	129109.48	52777.600000000006	392746.46	269283.44	229770.72	177384.77	219199.5	203371.87	118686.15	161834.6	186499.69	128340.9	145775.14	202796.9	184465.79	129157.6	200687.3
1.1.1.39-RXN	635702.35	639340.98	853931.5900000001	589170.5700000001	754272.43	568060.2	486519.97	556713.42	642696.3300000001	724303.23	665771.71	680607.7	347814.95	468010.03	617397.17	352819.88	405090.32	716881.6499999999	455994.85	528760.1799999999	570688.6000000001	437861.51	440168.26	613989.78	891252.6199999999	725481.2100000002	655074.7300000001	484111.1699999999	524722.95	943223.29	635977.6799999999	809058.2100000001	638588.69	891989.84	769976.98	447739.68	404201.84	387849.21	511212.59	591027.14	374061.46	434256.41	470147.85	290049.67000000004	498618.28	451548.95	573594.5	491977.73999999993	712432.78	544493.52	476944.33	748215.3799999999	475042.82000000007	454816.54	652251.8999999999	358751.52	406291.73999999993	493343.64	327555.28	598897.73	484262.06000000006	352148.87	539199.61
1.1.1.43-RXN	21.96	178.42000000000002	82.33	44.5	648.87	39.3	33.17	284.77	42.4	90.0	557.89	660.65	0.0	1169.79	93.91	8.0	378.45	147.27	19.83	336.17	411.37	991.26	269.62	23.82	461.44000000000005	100.15	45.66	273.02	32.65	9.26	511.73	78.96000000000001	36.67	181.12	94.02	194.67	207.67	1912.58	21.72	21.5	1527.53	438.49	72.4	183.54	677.39	108.53	479.14	168.69	1196.94	313.66	153.72	57.25	271.84000000000003	70.21000000000001	2.0	324.93	55.8	26.04	226.47	367.46	174.42	208.0	227.29
1.1.1.51-RXN	149.0	73.0	45.0	174.0	2.0	39.0	67.0	24.0	65.0	118.0	85.0	91.0	32.0	0.0	9.0	60.0	59.0	16.0	11.0	54.0	106.0	1.0	30.0	68.0	95.0	67.0	103.0	7.4	30.0	70.0	75.0	32.2	50.0	19.0	65.0	12.0	6.0	39.0	42.0	27.0	50.0	48.0	23.0	27.0	94.0	7.0	51.0	73.0	208.0	458.0	35.0	76.0	33.0	55.0	29.0	18.0	97.0	49.0	48.0	249.0	148.0	41.5	135.0
1.1.1.53-RXN	5205.25	1863.59	3687.5	3898.17	2754.41	2673.42	7092.0	2262.83	7314.5	5027.92	3126.0	3697.87	1464.0	1948.0	955.0	629.25	459.25	365.5	873.25	404.17	1450.33	1157.15	1011.0	5026.5	2217.0	2977.0	4493.0	1038.9	1974.75	10589.5	3964.83	6679.2	6205.0	2607.42	3413.33	2643.0	576.87	3282.67	969.25	1085.5	3985.34	1865.5	1877.75	398.25	3296.25	3006.83	2322.5	686.0	4319.5	8659.0	1215.5	3018.0	584.42	1523.33	3297.67	853.33	1997.75	2130.83	1009.25	4857.5	4046.08	1475.67	1324.92
1.1.1.83-RXN	17042.0	21768.52	27123.3	22477.8	29746.2	19972.0	27576.0	35058.58	25373.0	28508.9	39506.48	32101.87	23841.0	37554.74	29762.7	27240.0	22691.88	28729.1	36630.0	52990.86	42949.57	31697.58	28411.93	17454.0	21820.77	31691.0	26501.03	16526.03	24768.0	30339.51	41364.88	37159.2	30540.0	27033.54	32781.6	40443.47	23416.6	175871.13	23013.47	44847.0	154456.1	57352.7	19542.0	15405.39	99373.99	48305.33	76661.88	28035.17	141768.6	47842.33	14860.93	21243.0	21285.34	16305.66	15751.34	13770.5	12540.8	17313.5	14311.0	39536.37	19919.21	14761.42	21245.84
1.1.3.41-RXN	529.0	283.5	580.9300000000001	538.5	425.0	259.5	742.5	125.0	753.67	386.03	589.59	562.67	890.17	993.37	200.04	146.20999999999998	30.25	437.83	163.5	119.25	670.76	568.5	650.8800000000001	543.0	450.67	339.0	534.33	126.0	242.0	596.0	395.0	666.0	516.5	321.0	708.0	343.83	96.04	2736.0	247.67	228.33	2989.0	1006.0	293.0	154.0	2321.83	748.83	1178.21	296.5	1888.5	1252.93	287.86	356.5	80.5	185.67	424.5	217.5	190.5	237.0	73.5	803.0	411.17	176.0	374.75
1.1.99.25-RXN	23.67	269.44	138.07	53.33	873.25	48.93	42.17	435.13	58.83	146.41	1010.52	1040.33	0.0	2006.47	239.07	16.0	650.23	249.43	19.83	551.44	620.97	1553.62	469.84	31.5	558.1400000000001	68.83	42.400000000000006	409.81	23.33	18.83	1155.04	108.07	33.67	289.85	209.47	245.0	292.88	11297.71	45.98	25.0	8192.28	2839.0400000000004	126.83	295.83000000000004	4075.22	988.11	2897.48	179.82999999999998	7028.25	1450.82	323.46000000000004	80.5	473.34	98.09	6.0	554.64	83.4	38.0	437.83	2103.01	298.26	341.59	350.41
1.1.99.28-RXN	1193.33	1790.17	1309.8	1402.8	1906.7	1060.0	266.0	113.5	112.0	450.0700000000001	627.5699999999999	363.0	16.0	81.0	127.0	61.3	141.0	244.5	147.1	62.27	261.4	414.5	301.0	2877.4	3514.4	854.0	915.27	1204.2	890.75	272.4	270.0	236.0	547.0	331.67	713.42	131.8	63.0	253.5	185.8	146.3	277.0	271.4	147.6	54.1	628.3	338.23	112.5	138.0	288.6	135.0	165.5	273.0	108.67	66.33	145.67000000000002	129.5	190.0	147.0	63.25	290.0	189.5	285.1	190.42
1.11.1.12-RXN	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	62.0	0.0	9.0	26.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
1.12.1.3-RXN	1396.0	2604.28	804.0	998.5	1956.66	660.0699999999999	736.5	789.29	683.29	1243.0700000000002	2254.56	1734.07	3108.0	3357.0	2186.5	586.21	1487.64	974.71	2955.79	6831.82	4561.1	1293.6	2301.88	789.5	750.75	194.75	293.29	306.71000000000004	169.0	730.43	532.5699999999999	369.5	578.05	325.65	793.14	637.8199999999999	2014.36	1111.64	724.07	1862.5	4664.43	3007.94	923.43	687.46	4249.25	2199.81	1637.93	1494.68	3793.64	755.0	2812.14	4385.0	1499.0	2006.0	2662.57	1761.86	1272.0	858.0	973.88	4381.43	1080.0	2508.36	1296.99
1.12.5.1-RXN	24488.17	65454.03	13354.88	16047.21	52309.28	19210.0	13716.67	26469.31	16282.86	21136.05	63157.31	35501.11	49389.280000000006	209543.06	74639.45999999999	39278.9	171134.5	77656.6	86983.0	285347.01	107948.02000000002	174174.05000000002	71701.22	13952.31	23425.47	9310.11	10745.78	15933.18	10754.11	23501.14	49312.21000000001	13556.07	8579.9	11874.44	32928.48	88491.60999999999	130635.49	101688.02	53492.630000000005	83193.1	130466.55	87924.89	60457.20999999999	130464.83	91523.58	69481.4	150228.78	40045.66	48497.58	19096.52	60261.59	61240.48	65712.1	35387.4	70876.42	52781.75	42102.98	34873.83	52453.62	23556.300000000003	20360.97	49383.67	66359.7
1.13.11.14-RXN	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	31.0	33.0	0.0	54.0	0.0	0.0	10.0	0.0	0.0	35.0	29.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	132.0	0.0	0.0	121.0	40.0	4.0	0.0	29.0	0.0	35.0	0.0	26.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
1.13.11.15-RXN	30197.0	29394.08	16465.5	20176.65	42919.06	17306.46	27799.85	18224.54	25044.01	30894.81	49267.41	29013.92	49175.67	193360.66000000003	61681.22	38866.82	161699.04	76979.54000000001	90111.67	212449.4	106680.15	165861.46000000002	72966.86	41057.4	15643.7	11819.83	23195.18	12563.59	12050.5	42231.71	26598.01	21874.0	23063.14	11786.08	35592.57	107050.74	117328.85	98408.02	50586.91	66021.5	109763.55000000002	82954.20999999999	61804.34	125160.99	75681.47	77364.05	159644.77000000002	43684.17	30746.03	25723.57	37881.45	55510.41	50517.33	26810.54	46412.51	27476.47	21100.66	36129.83	29102.83	22953.88	27043.64	30291.78	49783.70999999999
1.13.11.16-RXN	12.0	174.0	43.0	37.0	403.0	26.0	18.0	75.0	32.0	44.0	340.0	480.0	0.0	625.5	68.0	2.0	150.0	140.0	10.0	260.0	177.5	548.5	118.5	8.0	144.0	44.0	7.67	84.0	16.0	0.0	363.0	87.0	14.0	72.75	38.0	118.0	110.0	70088.0	18.0	10.0	58014.0	15665.0	38.0	103.0	27986.0	6430.0	17727.0	56.5	54380.5	13612.0	77.0	79.0	26.0	60.0	0.0	88.0	34.0	24.0	82.0	11273.0	94.0	66.0	88.0
1.13.11.25-RXN	494.0	247.0	182.0	536.0	828.0	145.0	180.0	79.0	185.0	376.0	435.83	629.0	87.0	1228.0	199.0	195.0	141.0	146.0	72.0	127.0	416.67	278.0	227.0	186.0	245.5	189.0	355.0	32.4	68.0	221.0	158.0	273.2	152.0	215.33	188.0	51.0	22.0	270.0	161.0	158.5	549.0	236.0	77.0	154.0	751.0	12.0	672.25	237.0	628.0	1330.0	322.0	231.0	53.0	229.0	92.0	255.0	282.0	157.0	85.0	717.25	561.33	173.0	403.75
1.13.11.38-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.41-RXN	6.0	80.6	38.6	13.0	209.2	19.0	20.0	74.8	16.0	38.0	172.0	232.2	0.0	744.4	34.0	0.0	185.0	75.2	5.0	251.8	139.0	274.0	126.0	4.0	147.0	56.0	2.2700000000000005	55.0	8.0	0.0	281.0	12.0	16.0	61.4	66.2	78.0	63.0	258.0	9.0	5.0	143.07	68.4	24.0	72.6	158.4	0.0	66.0	31.0	70.0	6.0	44.8	45.0	102.0	38.0	2.0	92.0	31.6	12.0	64.0	37.0	51.0	46.0	95.0
1.13.11.46-RXN	0.0	27.0	16.0	0.0	15.34	0.0	0.0	0.0	0.0	11.0	4.0	3.0	0.0	195.22	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	12.0	0.0	34.5	4.0	3.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	10.0	0.0	0.0	0.0	17.5	0.0	0.0	28.5	0.0	0.0	0.0	48.0	0.0	3.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.6-RXN	11776.09	5673.66	7822.42	11667.99	6221.16	6082.41	11158.1	3127.16	7882.01	13750.02	3966.33	8073.51	11320.17	2252.16	8949.34	15934.07	1182.17	17340.16	10424.17	1882.66	13460.16	1783.33	7051.0	19362.4	7379.51	5026.83	10746.6	3338.84	4662.25	23576.31	5484.51	7069.0	9241.06	4152.5	7675.49	13674.49	1269.6800000000003	41275.5	9639.68	29452.42	36870.49	18296.16	11774.09	857.99	25870.68	27831.16	21091.82	17202.17	33368.16	18865.49	3238.0	22556.0	2736.0	5070.99	18590.85	2538.16	5305.49	11717.66	2414.17	16409.510000000002	11159.51	6196.67	9036.67
1.13.11.9-RXN	41.0	97.0	26.0	19.0	410.25	0.0	10.0	63.5	0.0	28.5	58.0	369.6	0.0	587.5	34.0	5.0	87.0	96.5	8.0	72.0	284.0	60.0	105.0	26.0	60.0	88.0	41.68	37.4	11.0	6.0	194.5	84.2	0.0	97.0	40.0	0.0	19.6	73071.0	0.0	76.0	61723.5	16638.0	27.0	87.5	29269.5	6903.5	19292.0	21.0	56224.5	14037.0	278.0	17.0	58.0	48.0	0.0	168.0	13.0	0.0	24.5	11863.0	172.0	11.0	17.5
1.14.11.1-RXN	42233.0	20531.64	32803.84	39260.240000000005	18684.13	24943.82	49457.33	13036.97	32822.21	43252.46	17352.68	24616.24	16901.34	7293.009999999999	10160.54	9451.1	4748.68	6711.629999999999	13927.84	6760.959999999999	8093.82	4310.98	5521.0	59936.25	21626.370000000003	23889.82	46617.56	11334.21	18045.49	91513.88	25845.05	34267.01	52468.87	18356.15	30434.11	14821.97	5754.25	7463.5	8309.21	19521.01	9647.28	10167.61	29160.95	2792.29	16593.239999999998	15230.8	10381.93	10346.18	20890.81	36412.96	8624.98	46773.46	7700.65	15359.96	47134.55	7687.65	16307.96	36184.15	7835.48	25970.370000000003	31323.88	16804.02	20805.71
1.14.11.18-RXN	3165.53	12289.71	2349.62	2378.66	7247.25	3261.0	2037.06	4728.4	2862.33	2456.34	7967.01	5400.9400000000005	1417.4699999999998	8743.93	4974.87	416.6	4633.0	1785.73	3165.6600000000003	22797.53	3937.4	4576.4	1947.49	1632.4	4897.650000000001	1786.94	1235.46	2994.83	1696.26	3034.98	10364.22	2539.14	928.6	1961.73	4010.94	975.94	6708.129999999999	4602.73	2511.67	6856.73	10488.4	4492.06	3613.67	3095.09	7458.580000000001	1481.93	3450.8	669.8	8800.0	3541.36	9066.87	5915.46	8088.059999999999	4570.68	10864.0	8670.9	7614.26	3319.9	8443.800000000001	3384.73	2322.44	7829.54	8370.14
1.14.11.2-RXN	116756.0	105015.8	234885.98	104099.0	164710.6	126777.0	56042.0	90389.08	95332.0	64095.11	90895.18	108437.7	5642.0	17273.07	35890.270000000004	9858.21	16673.0	43209.1	9676.5	17098.4	25345.32	27173.0	15931.83	105780.75	217461.0	183135.75	142484.36	96122.4	116884.0	57784.0	69613.5	123165.2	129571.25	212614.2	127895.1	5242.0	39515.71	120067.5	41251.0	26644.5	94575.7	40655.45	20744.0	17145.920000000002	69520.2	14366.75	42919.71	6421.5	196430.5	126403.76	92647.26	50082.0	78698.0	67406.75	37046.0	54095.0	73775.8	43750.5	53063.25	88009.0	69168.5	42903.66	67800.0
1.14.11.21-RXN	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0
1.14.11.26-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0
1.14.12.1-RXN	219.0	229.0	158.0	50.0	422.0	35.0	34.0	133.0	0.0	48.0	97.66	556.3399999999999	42.67	1820.0	0.0	19.0	469.0	180.5	19.0	225.0	2850.0	364.0	255.5	90.0	416.34	163.0	26.34	72.4	13.0	12.0	452.0	105.54	24.0	220.0	203.0	22.33	18.0	70707.0	60.0	44.33	58850.66	15973.0	52.0	99.34	28239.83	6418.66	18601.0	154.5	54469.0	13626.0	127.0	14.0	215.0	35.0	51.0	255.0	92.0	3.0	65.0	11295.66	84.0	16.0	90.0
1.14.12.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	37.5	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
