feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II.g__Clade_II.s__unidentified_marine	timepoint	timepoint	-1.17230557584604	0.116201868347782	63	61	5.78291108434471e-14	4.27935420241509e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade	timepoint	timepoint	-1.16138103062718	0.119572275127927	63	63	1.18643247426599e-13	8.48694696591602e-12
d__Bacteria.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.__.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.__.__.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.__.__.__.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.__.__.__.__.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.__.__.__.__.__.__	timepoint	timepoint	-0.993385596139247	0.102245585259679	63	63	1.47368393443819e-13	8.78479367584544e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Nautella	timepoint	timepoint	0.846408226697563	0.0881860830638871	63	63	2.3569265396151e-13	1.33104325105632e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Nautella.__	timepoint	timepoint	0.846408226697563	0.0881860830638871	63	63	2.3569265396151e-13	1.33104325105632e-11
d__Bacteria.p__Actinobacteriota	timepoint	timepoint	-1.23210685996932	0.13113532219777	63	62	2.96009883550962e-13	1.6288133592317e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Shimia	timepoint	timepoint	1.25420441122844	0.131663459954119	63	62	5.10173521282127e-13	2.67032286993035e-11
