# Constructed from biom file
#OTU ID	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
42cd6cc02e1ce6e3d88b88ee33a4a42e	154251.0	471452.0	300227.0	164313.0	831792.0	160946.0	287686.0	636509.0	82253.0	307049.0	527638.0	374624.0	75588.0	270106.0	118428.0	8363.0	702396.0	605485.0	13030.0	214136.0	398989.0	357348.0	369057.0	170843.0	468064.0	240671.0	158888.0	753341.0	307879.0	294890.0	641218.0	299923.0	51637.0	478061.0	470949.0	409766.0	715164.0	506045.0	249658.0	150934.0	408173.0	314756.0	167270.0	709900.0	314322.0	248087.0	518067.0	94554.0	101496.0	70230.0	482194.0	284635.0	1005243.0	280576.0	232110.0	725761.0	127578.0	248253.0	581447.0	96604.0	288583.0	255427.0	555814.0
512cbdc4ff56528b80785eab9a022436	44397.0	66415.0	40659.0	49048.0	51180.0	58408.0	31127.0	71772.0	57193.0	37678.0	64614.0	76901.0	24500.0	85228.0	58058.0	38952.0	71394.0	76012.0	40249.0	82633.0	46753.0	59884.0	34832.0	40854.0	73873.0	49091.0	38301.0	52886.0	62315.0	56912.0	130703.0	86251.0	46587.0	67031.0	104124.0	33487.0	51640.0	54664.0	48975.0	30166.0	41906.0	28849.0	29642.0	37299.0	37644.0	27720.0	43015.0	41827.0	35750.0	29294.0	29309.0	36091.0	37343.0	29126.0	20324.0	22913.0	27218.0	20588.0	27077.0	28302.0	20016.0	20920.0	35391.0
06bfd6608071f821cad7a145527bf0cb	76606.0	59032.0	177170.0	77283.0	111350.0	93851.0	26433.0	44422.0	45647.0	33504.0	49684.0	60986.0	2948.0	8766.0	20593.0	5918.0	10036.0	26225.0	5056.0	10730.0	13344.0	17376.0	8638.0	74464.0	156165.0	128818.0	107932.0	75169.0	88940.0	25246.0	32510.0	62504.0	82909.0	127053.0	78653.0	2310.0	18704.0	17076.0	22466.0	14298.0	12247.0	9216.0	9099.0	8744.0	16021.0	3352.0	11572.0	3833.0	59723.0	48746.0	39121.0	22324.0	36475.0	28773.0	16005.0	24172.0	32149.0	16306.0	24195.0	32967.0	28714.0	17256.0	29773.0
3dfb3c6cbb1c5b7e6290532430050d0e	42507.0	72201.0	77587.0	40076.0	73726.0	53880.0	45015.0	56236.0	107667.0	100341.0	84121.0	61571.0	1902.0	4480.0	3835.0	824.0	2191.0	9133.0	1786.0	2576.0	4595.0	4545.0	3176.0	41067.0	115196.0	71014.0	41696.0	58920.0	40263.0	121430.0	61443.0	110250.0	31121.0	109228.0	58467.0	1568.0	12468.0	11185.0	18859.0	17684.0	15130.0	9779.0	10850.0	4091.0	15181.0	2176.0	7046.0	1050.0	68501.0	48410.0	37244.0	59294.0	27088.0	32748.0	51344.0	28976.0	31322.0	38717.0	20553.0	42919.0	21093.0	23122.0	34043.0
ce0bccc39503bc114e15f59cfe16da50	27323.0	75194.0	26718.0	16284.0	45866.0	30438.0	32744.0	32744.0	31746.0	38829.0	28761.0	33282.0	10165.0	85.0	2168.0	1562.0	24.0	868.0	1214.0	137.0	301.0	46.0	246.0	6681.0	28071.0	26503.0	23441.0	14840.0	12459.0	14879.0	12934.0	38496.0	39472.0	44457.0	25085.0	60.0	18000.0	12834.0	11084.0	2989.0	32621.0	8141.0	5760.0	4913.0	13726.0	10090.0	1412.0	1625.0	69650.0	56098.0	63831.0	27917.0	65828.0	35617.0	22865.0	41310.0	31460.0	22080.0	44632.0	57578.0	58321.0	24307.0	27904.0
78521d77717c2104cb777d7925f56754	25751.0	31887.0	37544.0	14671.0	35943.0	21598.0	19454.0	32664.0	30523.0	16518.0	25942.0	28395.0	1213.0	3432.0	10526.0	1957.0	3791.0	11082.0	1541.0	3743.0	5026.0	5186.0	4095.0	19667.0	39295.0	37355.0	21949.0	13368.0	18247.0	18153.0	23223.0	40115.0	29343.0	55344.0	27825.0	1037.0	15244.0	12639.0	13434.0	6129.0	9363.0	6976.0	7822.0	6313.0	11720.0	1125.0	5445.0	1217.0	55415.0	45795.0	39589.0	16234.0	33635.0	28998.0	12388.0	21957.0	31044.0	14041.0	21043.0	28075.0	29015.0	16902.0	28315.0
5e7b317f74086eb3f4bd13275a3ffa73	4834.0	728.0	541.0	3474.0	764.0	644.0	1269.0	260.0	296.0	2449.0	513.0	2141.0	76742.0	1733.0	51443.0	67456.0	1128.0	60112.0	123489.0	1113.0	53224.0	2119.0	51263.0	1602.0	200.0	302.0	1533.0	273.0	431.0	1271.0	202.0	236.0	832.0	174.0	1020.0	102337.0	992.0	2338.0	28375.0	50203.0	1272.0	46501.0	86698.0	930.0	24022.0	86911.0	62867.0	112464.0	2568.0	1442.0	812.0	16229.0	933.0	2488.0	19506.0	761.0	1119.0	15220.0	504.0	3068.0	3102.0	1928.0	3459.0
48966afa9179a3380bd4c2eeefd25bbc	49000.0	3143.0	11687.0	46211.0	3618.0	8301.0	38321.0	2174.0	9024.0	60960.0	2747.0	20747.0	2103.0	286.0	785.0	1026.0	210.0	885.0	2214.0	159.0	969.0	529.0	843.0	59777.0	2198.0	7095.0	33136.0	2208.0	8063.0	118188.0	3228.0	15826.0	29381.0	2881.0	25517.0	440.0	931.0	957.0	3586.0	29460.0	1273.0	4123.0	27633.0	457.0	7065.0	697.0	1040.0	1852.0	18009.0	13310.0	3747.0	97004.0	3126.0	19179.0	96362.0	4214.0	11889.0	49168.0	1948.0	64758.0	44322.0	23163.0	31152.0
410fa208a686e781bb7bd6cf27b2c301	5985.0	25077.0	13256.0	6292.0	42055.0	8020.0	9152.0	28434.0	3960.0	11758.0	31329.0	14473.0	1712.0	11933.0	4584.0	390.0	33682.0	22332.0	540.0	12779.0	13598.0	16235.0	15630.0	6393.0	25224.0	9803.0	5890.0	34201.0	10458.0	8082.0	31086.0	13187.0	2145.0	19219.0	20647.0	14424.0	31149.0	26507.0	9504.0	5006.0	20237.0	12966.0	5267.0	28378.0	13463.0	9936.0	15616.0	2097.0	6291.0	2878.0	24285.0	10643.0	40836.0	10833.0	7938.0	31297.0	6293.0	8417.0	26511.0	4148.0	12235.0	11664.0	18702.0
0c185262a814ac1818dee25adfb56860	5280.0	20794.0	11416.0	5473.0	35090.0	7108.0	7671.0	23378.0	3645.0	10247.0	25112.0	12250.0	1699.0	9681.0	3978.0	372.0	27583.0	18864.0	510.0	10777.0	11287.0	13543.0	12706.0	5641.0	20668.0	8704.0	5298.0	27697.0	9010.0	7248.0	25685.0	11245.0	2013.0	16535.0	17136.0	12258.0	26075.0	21612.0	8095.0	4671.0	16037.0	10679.0	4810.0	23461.0	11297.0	8356.0	13354.0	1953.0	5231.0	2544.0	20049.0	9174.0	33668.0	9132.0	6843.0	25419.0	5463.0	7417.0	21629.0	3571.0	10352.0	9545.0	15879.0
