feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00548	timepoint	timepoint	0.178486350923711	0.00683996337380448	63	63	3.48837467691502e-33	5.04139908307759e-29
K00963	timepoint	timepoint	0.12026707769606	0.00649883205319884	63	63	3.34049926866497e-24	2.09732921908791e-20
K10537	timepoint	timepoint	-1.327682290479	0.0725154435892535	63	63	4.3537141276389e-24	2.09732921908791e-20
K02099	timepoint	timepoint	-1.29356076800846	0.0725505999404979	63	63	1.43434094024997e-23	2.30323280761028e-20
K02274	timepoint	timepoint	0.0599266211983183	0.00354056327732301	63	63	1.37385145396221e-23	2.30323280761028e-20
K07700	timepoint	timepoint	-1.246412198624	0.0694539696124873	63	63	1.14603070518987e-23	2.30323280761028e-20
K07702	timepoint	timepoint	-1.22381005347376	0.0685398216891514	63	63	1.42531422792034e-23	2.30323280761028e-20
K10538	timepoint	timepoint	-1.33312030639538	0.0745835046557422	63	63	1.29856313280556e-23	2.30323280761028e-20
K18889	timepoint	timepoint	-1.22190772333682	0.0679381807158811	63	63	1.02211680102513e-23	2.30323280761028e-20
K02259	timepoint	timepoint	0.060259162770697	0.00361995084611963	63	63	1.90049296650292e-23	2.32478310599227e-20
K09470	timepoint	timepoint	-1.17429074609628	0.0662474744798234	63	63	1.93034855188951e-23	2.32478310599227e-20
K10539	timepoint	timepoint	-1.31293981160817	0.0740100775012489	63	63	1.7164363945353e-23	2.32478310599227e-20
K03810	timepoint	timepoint	-1.23295281531501	0.0698605799484491	63	63	2.35144381113646e-23	2.61408199681109e-20
K18890	timepoint	timepoint	-1.24128012459115	0.0705399036150295	63	63	2.6368002131634e-23	2.72193119147411e-20
K08313	timepoint	timepoint	-1.23875266480306	0.0709611492767774	63	63	3.79862183724063e-23	3.65984551945344e-20
K03756	timepoint	timepoint	-1.2464648413033	0.0725759551135572	63	63	7.52342833001332e-23	6.39579918972662e-20
K16076	timepoint	timepoint	-1.33981842834417	0.078089001418677	63	63	7.40407964419817e-23	6.39579918972662e-20
K03815	timepoint	timepoint	-1.18767919666462	0.0693178332221974	63	63	8.75845828508484e-23	7.03206884089145e-20
K05776	timepoint	timepoint	-0.24557516444615	0.0156599053705454	63	63	1.39307209704798e-22	1.05961462876513e-19
K07323	timepoint	timepoint	0.151170956757888	0.00891359810326803	63	63	1.57691581308432e-22	1.09265924041131e-19
K07690	timepoint	timepoint	-1.19877310698758	0.071048828071172	63	63	1.58772793029599e-22	1.09265924041131e-19
K08302	timepoint	timepoint	-1.35093678756672	0.0803103015659331	63	63	1.79375197340081e-22	1.17784110360101e-19
K14056	timepoint	timepoint	-1.1601324830329	0.0689247157945949	63	63	1.87450493930413e-22	1.17784110360101e-19
K03225	timepoint	timepoint	-1.18273103424219	0.0707778246163476	63	63	2.63730331869906e-22	1.58809614840995e-19
K03765	timepoint	timepoint	-1.25012371864978	0.0748966350827653	63	63	2.84665279362235e-22	1.64559304693721e-19
K03220	timepoint	timepoint	-1.21316444814436	0.072964426285951	63	63	3.24873254307182e-22	1.8057954889413e-19
K08476	timepoint	timepoint	-1.23536334725918	0.0746258039595143	63	63	3.96381914999297e-22	2.1216709020629e-19
K11192	timepoint	timepoint	-1.20689607114506	0.0729877681554621	63	63	4.20628404957687e-22	2.17104346730303e-19
K02173	timepoint	timepoint	-1.17472385653534	0.07121855513255	63	63	4.83273503971873e-22	2.3280895598005e-19
K04053	timepoint	timepoint	-1.20356052095849	0.0730116040675838	63	63	4.82391803325948e-22	2.3280895598005e-19
