feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5651	timepoint	timepoint	0.550438799567842	0.0878389881108717	63	63	5.02470991961291e-08	3.16825220885516e-07
PWY.5347	timepoint	timepoint	0.111145423152906	0.0177257609118146	63	63	5.08488411729647e-08	3.17745366159798e-07
PWY.7254	timepoint	timepoint	-0.12493946522352	0.0199074606858963	63	63	5.11623894664081e-08	3.17745366159798e-07
ANAGLYCOLYSIS.PWY	timepoint	timepoint	0.117581860324023	0.0188074538914688	63	63	5.34417868640222e-08	3.29424745893152e-07
PPGPPMET.PWY	timepoint	timepoint	0.1519600132826	0.0242311245907231	63	63	5.70370791362166e-08	3.48982424937148e-07
PWY.5837	timepoint	timepoint	-0.315515599453805	0.0503337333170692	63	63	5.92013993935027e-08	3.59561440434068e-07
REDCITCYC	timepoint	timepoint	-0.105269216032411	0.0168979619070356	63	63	5.97175727878748e-08	3.60049015494778e-07
NADSYN.PWY	timepoint	timepoint	0.530159010146071	0.0852743672695446	63	63	6.05946934352897e-08	3.62689976648908e-07
PWY.5101	timepoint	timepoint	0.0296105096778486	0.00470987967599972	63	63	7.4327081472687e-08	4.41684671197407e-07
PWY.2941	timepoint	timepoint	-1.17441188242753	0.19351622329189	63	62	9.4271904436757e-08	5.56204236176866e-07
PWY.5705	timepoint	timepoint	0.377183883632911	0.0616907429149946	63	63	1.29632142405992e-07	7.59405316506025e-07
P4.PWY	timepoint	timepoint	0.0521310243972044	0.00866069468583091	63	63	1.33586391931284e-07	7.77058871374931e-07
CENTFERM.PWY	timepoint	timepoint	-1.12246397332035	0.187969860555912	63	62	1.37090026937818e-07	7.8636362674054e-07
PWY.6590	timepoint	timepoint	-1.12075085946751	0.187661102323885	63	62	1.36723810316412e-07	7.8636362674054e-07
PWY.7200	timepoint	timepoint	0.0842345452493394	0.014066930989459	63	63	1.4969826350482e-07	8.52763901068838e-07
MET.SAM.PWY	timepoint	timepoint	0.105581404513449	0.0177939525042136	63	63	1.78142899845284e-07	1.00099343722588e-06
P164.PWY	timepoint	timepoint	-1.18911023419283	0.200301071785197	63	62	1.77447825903056e-07	1.00099343722588e-06
PWY.5181	timepoint	timepoint	-0.75953061186985	0.126439618021379	63	63	1.90474426016444e-07	1.06305321547015e-06
PWY.7391	timepoint	timepoint	-1.05317204617018	0.179351360122161	63	62	2.00714131978745e-07	1.11268371150633e-06
LACTOSECAT.PWY	timepoint	timepoint	-1.08341079720962	0.186182502802578	63	62	2.45854476001328e-07	1.34542119075571e-06
LEU.DEG2.PWY	timepoint	timepoint	0.0440432695556069	0.00754459234880795	63	63	2.45954721312484e-07	1.34542119075571e-06
PWY.6471	timepoint	timepoint	-1.12996126998267	0.19506349862474	63	62	2.71822893102543e-07	1.47714282699145e-06
PWY.3781	timepoint	timepoint	0.153519297181528	0.0261804743481003	63	63	2.86784687404779e-07	1.54826243004149e-06
ILEUSYN.PWY	timepoint	timepoint	0.0330891556622984	0.00561204064324886	63	63	3.04648783111852e-07	1.61307624904096e-06
TRPSYN.PWY	timepoint	timepoint	0.0205835536804183	0.00353715207962799	63	63	3.02640704521124e-07	1.61307624904096e-06
VALSYN.PWY	timepoint	timepoint	0.0330891556622984	0.00561204064324886	63	63	3.04648783111852e-07	1.61307624904096e-06
PWY.6628	timepoint	timepoint	-0.0377681727358655	0.00647434909784596	63	63	3.31489501097271e-07	1.74401482742896e-06
PWYG.321	timepoint	timepoint	-0.0673531428680011	0.0116396860157411	63	63	3.49053039880771e-07	1.82479627178175e-06
P261.PWY	timepoint	timepoint	-1.29068348842538	0.225556412979969	63	60	4.12862247057682e-07	2.14480639037513e-06
HEXITOLDEGSUPER.PWY	timepoint	timepoint	-1.19762772836774	0.211341813769756	63	63	5.07658183604632e-07	2.62078537285891e-06
PWY.5265	timepoint	timepoint	-1.1243957107392	0.202686552870076	63	62	6.89986597778563e-07	3.53993124077698e-06
PWY.4361	timepoint	timepoint	-1.26741986766077	0.228211857533609	63	56	7.80769119712524e-07	3.9809585980404e-06
PWY.7527	timepoint	timepoint	-1.26519193229288	0.227895492528609	63	56	7.86952010156618e-07	3.98786724165256e-06
TEICHOICACID.PWY	timepoint	timepoint	-0.932051172262972	0.16970515653686	63	63	8.49912311893959e-07	4.28065591234396e-06
PWY.6876	timepoint	timepoint	-1.215137906671	0.217568238702918	63	63	8.96065142798012e-07	4.4857564118252e-06
PWY.7199	timepoint	timepoint	0.138265354615167	0.0252369251128776	63	63	1.00605745486225e-06	5.00604492600132e-06
P163.PWY	timepoint	timepoint	-1.57770117825052	0.290011283715801	63	51	1.03365214858492e-06	5.11255493850984e-06
PWY.5667	timepoint	timepoint	0.0116929543798643	0.0021263685418792	63	63	1.08264181973015e-06	5.29149197098878e-06
PWY0.1319	timepoint	timepoint	0.0116929543798643	0.0021263685418792	63	63	1.08264181973015e-06	5.29149197098878e-06
NAD.BIOSYNTHESIS.II	timepoint	timepoint	-1.10420368351548	0.199993886852936	63	63	1.13745478700856e-06	5.52669208275925e-06
PWY.181	timepoint	timepoint	0.282543147101239	0.0514183825405275	63	63	1.1551415460687e-06	5.57980653247221e-06
PWY.5695	timepoint	timepoint	-0.0488152858717693	0.00904916304754117	63	63	1.22687756440283e-06	5.89186551277174e-06
PWY.6387	timepoint	timepoint	0.0181312185186166	0.0033500180183224	63	63	1.27159965574811e-06	6.07133708467017e-06
PWY.7220	timepoint	timepoint	0.0170136085469628	0.0031588302540726	63	63	1.39041866640152e-06	6.5627761054152e-06
PWY.7222	timepoint	timepoint	0.0170136085469628	0.0031588302540726	63	63	1.39041866640152e-06	6.5627761054152e-06
PWY.621	timepoint	timepoint	0.168193048435386	0.0312806666701572	63	63	1.55418031370434e-06	7.29405079045335e-06
PWY.7013	timepoint	timepoint	-1.60650049200699	0.301337347820853	63	49	1.65428586517852e-06	7.72000070416644e-06
PWY.6703	timepoint	timepoint	0.125896718067993	0.0236374430212728	63	63	1.70878712261007e-06	7.92954024312313e-06
PWY.6609	timepoint	timepoint	0.112854908604143	0.0213906426199976	63	63	2.25110000977583e-06	1.03877575870103e-05
PEPTIDOGLYCANSYN.PWY	timepoint	timepoint	0.0210215327557785	0.00400931054441214	63	63	2.59588302163983e-06	1.19122187548583e-05
POLYISOPRENSYN.PWY	timepoint	timepoint	0.019264268027907	0.00372912737955876	63	63	3.06494421186415e-06	1.39869829778994e-05
PWY.7197	timepoint	timepoint	0.0164535155715718	0.00319716142117006	63	63	3.08876809839189e-06	1.40182552157786e-05
BIOTIN.BIOSYNTHESIS.PWY	timepoint	timepoint	-0.0188407645292813	0.00362518150590605	63	63	3.43185005575119e-06	1.54902084483633e-05
PWY.841	timepoint	timepoint	0.0148931264226337	0.00296883058114537	63	63	5.22361411615893e-06	2.34494851084091e-05
TCA.GLYOX.BYPASS	timepoint	timepoint	0.0235796570784486	0.00473649491094759	63	63	5.97993942361791e-06	2.66996214265318e-05
GALACTUROCAT.PWY	timepoint	timepoint	-0.238088630043468	0.0477679141237138	63	63	7.24145560625434e-06	3.18161826104579e-05
PWY.5920	timepoint	timepoint	0.293967633343047	0.0589666135823195	63	63	7.22799472618531e-06	3.18161826104579e-05
THREOCAT.PWY	timepoint	timepoint	-1.54346844113746	0.313073241729745	63	45	7.20457479265287e-06	3.18161826104579e-05
P381.PWY	timepoint	timepoint	-0.885760114372344	0.178921743544806	63	62	7.9364475462278e-06	3.46852152020326e-05
P108.PWY	timepoint	timepoint	0.319602941613224	0.0646765846747625	63	63	8.42378504947632e-06	3.66212971098286e-05
P42.PWY	timepoint	timepoint	-0.182251087162451	0.0375343255729407	63	63	1.07348965778236e-05	4.64242124255617e-05
PWY.6608	timepoint	timepoint	-0.0532772408805503	0.0110399651224313	63	63	1.12473206147878e-05	4.83869105615348e-05
PWY.5484	timepoint	timepoint	0.0222266450814961	0.00457912955881923	63	63	1.20729638433279e-05	5.16697830807711e-05
FASYN.INITIAL.PWY	timepoint	timepoint	0.0118409789458883	0.00245831875192664	63	63	1.23088065340072e-05	5.21388420363587e-05
PWY.7332	timepoint	timepoint	0.509198888644304	0.105985991815609	63	63	1.23041545930919e-05	5.21388420363587e-05
ANAEROFRUCAT.PWY	timepoint	timepoint	-0.187320367288657	0.0396403490367227	63	63	1.59434969588389e-05	6.71904514693924e-05
PWY.6901	timepoint	timepoint	-0.110078543138524	0.0233217638096175	63	63	1.79646054133783e-05	7.53236754895963e-05
UDPNAGSYN.PWY	timepoint	timepoint	0.0164377333370498	0.00350421040432085	63	63	1.8516788212014e-05	7.72468033491088e-05
PWY.6992	timepoint	timepoint	-1.51833413373134	0.322803173515667	63	36	2.022350360232e-05	8.39427837965643e-05
THISYN.PWY	timepoint	timepoint	-0.0760473874701798	0.0163490587777283	63	63	2.30935038307291e-05	9.53761708209111e-05
PWY.1861	timepoint	timepoint	-0.832393724659064	0.181135463604362	63	63	2.43040422980136e-05	9.98273750492289e-05
RUMP.PWY	timepoint	timepoint	-0.833433084482547	0.181412126649382	63	63	2.44129900241456e-05	9.98273750492289e-05
PWY.5384	timepoint	timepoint	0.0482321204616764	0.0105389685468956	63	63	2.59824513995035e-05	0.00010572169879798
