"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	1.64385291885561	0	0.26560739754603	6.05344536290196e-10	8.3537546008047e-08	1.21068907221395e-09	1.17767027933539e-07	NA	"prevalence"	63	50
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22"	"hpf"	"hpf"	"hpf"	1.29678839600553	-0.620903647040103	0.234025895318814	2.07598807943156e-09	2.74030426484966e-07	4.15197615455339e-09	3.86314303075837e-07	NA	"abundance"	63	59
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae"	"hpf"	"hpf"	"hpf"	0.359847946440718	-0.620903647040103	0.085770578361644	8.12233439067345e-09	1.02747530042019e-06	8.12233439067345e-09	7.24241483168383e-07	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae"	"leachate"	".Q"	"leachate.Q"	-2.90934026291342	-0.18320254889585	0.337267116381613	1.11644694576122e-08	1.35581317093242e-06	1.11644694576122e-08	9.55678585571601e-07	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae"	"hpf"	"hpf"	"hpf"	0.831392428479304	-0.620903647040103	0.183392464974786	4.62062268604582e-08	5.39546556724427e-06	9.24124515859007e-08	7.60625563053183e-06	NA	"abundance"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae"	"hpf"	"hpf"	"hpf"	0.845928929456824	-0.620903647040103	0.188682305310631	1.04688671240941e-07	1.17716594773147e-05	2.09377331522164e-07	1.65950922021271e-05	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__"	"hpf"	"hpf"	"hpf"	1.33024795191071	-0.620903647040103	0.293959931143395	2.53438866926061e-07	2.74800142852687e-05	5.06877669620864e-07	3.8739936178166e-05	NA	"abundance"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__"	"hpf"	"hpf"	"hpf"	0.501567581516134	-0.620903647040103	0.163969361771496	8.70039259862601e-07	9.10841101014778e-05	1.74007776275689e-06	0.000124125547076658	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae"	"hpf"	"hpf"	"hpf"	0.289257279537982	-0.620903647040103	0.122542621972889	1.52753023508518e-06	0.00015458605979062	1.52753023508518e-06	0.00011272119665801	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae"	"reads"	"reads"	"reads"	0.740118434399825	0	0.163897771581058	6.30983823678418e-06	0.000617957060866993	1.26196366595098e-05	0.000871162014559708	NA	"prevalence"	63	51
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae"	"hpf"	"hpf"	"hpf"	-1.5973291048634	-0.620903647040103	0.177989495776332	2.75336303803942e-05	0.0026122531823399	5.50665026599865e-05	0.0036825723653866	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae"	"leachate"	".C"	"leachate.C"	1.14219826085826	-0.422536736834408	0.317392718186652	5.24089934186937e-05	0.00482162739451982	0.000104815240134796	0.00659719452613129	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae"	"hpf"	"hpf"	"hpf"	0.103467048981564	-0.620903647040103	0.124446815591995	7.28228701137058e-05	0.00650265393132973	7.28228701137058e-05	0.00472245278919183	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae"	"hpf"	"hpf"	"hpf"	-0.0757605712017446	-0.620903647040103	0.0651664984082592	0.000127698908491446	0.0110769681765723	0.000127698908491446	0.00780787611919126	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae"	"hpf"	"hpf"	"hpf"	-1.41002318551883	-0.620903647040103	0.157368659249545	0.000168040951823454	0.0137884413442164	0.000336053665885419	0.0199765234720777	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae"	"hpf"	"hpf"	"hpf"	1.54531625494508	0	0.412636926088388	0.000180409506100021	0.0144137700136754	0.000360786464610152	0.0208671090342088	NA	"prevalence"	63	34
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae"	"hpf"	"hpf"	"hpf"	0.651267546791109	-0.620903647040103	0.29425093654596	0.000203519427792772	0.0158432046866373	0.000406997435428054	0.0229203818898957	NA	"abundance"	63	58
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae"	"leachate"	".L:hpf"	"leachate.L:hpf"	1.50865608807499	-0.0336496487098992	0.358998477887627	0.000423095717568023	0.0321129649634129	0.000846012425149821	0.0464222202518107	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae"	"hpf"	"hpf"	"hpf"	-1.37464466346734	-0.620903647040103	0.183451475576013	0.00113188245853698	0.0838145157102019	0.00226248375917402	0.118090615722742	NA	"abundance"	63	56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae"	"reads"	"reads"	"reads"	1.3365579481161	0	0.415058250621754	0.00128114791508573	0.0926086921476253	0.00256065449019112	0.127437223465326	NA	"prevalence"	63	34
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae"	"hpf"	"hpf"	"hpf"	-1.35649380950542	-0.620903647040103	0.188958783872626	0.00159157809296208	0.112372816051928	0.00318062306509817	0.147968116506741	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae"	"hpf"	"hpf"	"hpf"	-0.207327062478491	-0.620903647040103	0.0529108091868358	0.00177592180127175	0.122538604287751	0.00177592180127175	0.0950118163680385	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae"	"hpf"	"hpf"	"hpf"	-0.163626856397297	-0.620903647040103	0.085527049063708	0.00233459340474023	0.157507235039807	0.00233459340474023	0.11895309252724	NA	"abundance"	63	63
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae"	"hpf"	"hpf"	"hpf"	-1.01690437595475	0	0.33677409730145	0.00253155093682048	0.167082361830152	0.00505669312349525	0.212182809495683	NA	"prevalence"	63	22
"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae"	"leachate"	".C"	"leachate.C"	0.360551498737646	-0.422536736834408	0.221664068194447	0.0028741820968714	0.181792017627116	0.0028741820968714	0.136683326384551	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae"	"leachate"	".C"	"leachate.C"	0.0568815519686146	-0.422536736834408	0.0973131172044825	0.00282477745788505	0.181792017627116	0.00282477745788505	0.136683326384551	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae"	"hpf"	"hpf"	"hpf"	0.598438100468849	-0.620903647040103	0.332614538727695	0.0033545203116409	0.203686473322835	0.00669778781676059	0.265430850516068	NA	"abundance"	63	26
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II"	"hpf"	"hpf"	"hpf"	-1.1557554604822	-0.620903647040103	0.130768473191978	0.00329806060666631	0.203686473322835	0.00329806060666631	0.150167014856721	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae"	"hpf"	"hpf"	"hpf"	0.0803063248406729	-0.620903647040103	0.198945308938623	0.0035811309522647	0.209082953289916	0.00714943740563212	0.278178109964595	NA	"abundance"	63	62
"d__Eukaryota;__;__;__;__"	"reads"	"reads"	"reads"	0.627735147860762	-0.0302384819602426	0.199668267742026	0.00354304749467199	0.209082953289916	0.00354304749467199	0.157960867470793	NA	"abundance"	63	56
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae"	"reads"	"reads"	"reads"	1.20157399100744	0	0.414749769049027	0.00376622633733677	0.215740814342536	0.00751826821384949	0.287305249600677	NA	"prevalence"	63	16
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae"	"leachate"	".C"	"leachate.C"	0.258810724780433	-0.422536736834408	0.195676464808535	0.0043339387695706	0.243663668600303	0.0043339387695706	0.189278142181247	NA	"abundance"	63	63
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured"	"hpf"	"hpf"	"hpf"	-2.32301731496884	-0.620903647040103	0.476811567375818	0.00485264302538771	0.26702621868468	0.00485264302538771	0.207693121486594	NA	"abundance"	63	29
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae"	"leachate"	".Q"	"leachate.Q"	1.38090998975794	-0.18320254889585	0.457226329244748	0.00492538479787289	0.26702621868468	0.00982651018033866	0.368925119051311	NA	"abundance"	63	25
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	1.75249003446826	0.108223253262369	0.44298092860618	0.00528674429192508	0.281588695969904	0.010545538918642	0.389094022170582	NA	"abundance"	63	19
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae"	"leachate"	".L:hpf"	"leachate.L:hpf"	-2.09123220691051	-0.0336496487098992	0.600378254253712	0.00575321028900409	0.301150800645111	0.0114733211493787	0.416150970502888	NA	"abundance"	63	22
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_I"	"hpf"	"hpf"	"hpf"	-1.18571425708921	-0.620903647040103	0.159315704146622	0.00586676956706021	0.301890040772793	0.00586676956706021	0.241440132182862	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae"	"leachate"	".C"	"leachate.C"	0.0553079097937827	-0.422536736834408	0.119842299513703	0.00656632197555108	0.332255891962885	0.00656632197555108	0.265130736371308	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	2.64613656573071	0	0.975768120257986	0.00669089066117642	0.333008918808715	0.013337013304513	0.475686807860964	NA	"prevalence"	63	13
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae"	"leachate"	".C"	"leachate.C"	1.48683077474636	-0.422536736834408	0.466299082867911	0.00724140111940302	0.354595061266251	0.0144303643486339	0.506245568952076	NA	"abundance"	63	15
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Temperatibacteraceae"	"hpf"	"hpf"	"hpf"	0.0833945476917992	-0.620903647040103	0.217392265790172	0.00765052737935833	0.368682557519554	0.0152425241895344	0.526112931703282	NA	"abundance"	63	37
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae"	"hpf"	"hpf"	"hpf"	0.124768347784032	-0.620903647040103	0.237786325161161	0.00811196564428971	0.384811370250993	0.0161581273019653	0.548863371844535	NA	"abundance"	63	43
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	2.15701904177541	0	0.827098301956865	0.00910901107876676	0.425460886694398	0.0181350480747004	0.59706158276706	NA	"prevalence"	63	36
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales"	"reads"	"reads"	"reads"	1.18121647553	-0.0302384819602426	0.419921239960464	0.00988227892330241	0.441214688399208	0.0196668984098869	0.61892886172291	NA	"abundance"	63	31
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-0.899003626615084	0.108223253262369	0.343662650748797	0.00987755650636396	0.441214688399208	0.0196575468901915	0.61892886172291	NA	"abundance"	63	44
"d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halococcaceae"	"reads"	"reads"	"reads"	0.914522286826398	0	0.354269543661432	0.00983917347867398	0.441214688399208	0.0195815376226045	0.61892886172291	NA	"prevalence"	63	20
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae"	"reads"	"reads"	"reads"	1.26588602143138	-0.0302384819602426	0.424104572340387	0.0105017852578091	0.462078551343599	0.020893283022017	0.647994574885745	NA	"abundance"	63	22
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae"	"leachate"	".C:hpf"	"leachate.C:hpf"	-1.21178480314878	-0.234864409259983	0.350375469072122	0.0111919149752807	0.478572589647214	0.0222585709897475	0.661574193306384	NA	"abundance"	63	56
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae"	"hpf"	"hpf"	"hpf"	-1.00974712058848	0	0.397879084538003	0.0111544039802256	0.478572589647214	0.0221843872322972	0.661574193306384	NA	"prevalence"	63	19
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae"	"reads"	"reads"	"reads"	1.2974216321248	0	0.512817806435811	0.0114067229314946	0.480983483611356	0.0226833325349533	0.66496344691507	NA	"prevalence"	63	36
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae"	"leachate"	".L"	"leachate.L"	2.65583907113933	-0.253826051793397	0.781300594344301	0.0120817867625001	0.502469926177402	0.0240176039536257	0.694563141361608	NA	"abundance"	63	16
"d__Bacteria;p__Proteobacteria;__;__;__"	"hpf"	"hpf"	"hpf"	1.1133429159491	-0.620903647040103	0.551444059099881	0.0130673090198915	0.536112840329601	0.0259638634747616	0.740835571146531	NA	"abundance"	63	17
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae"	"leachate"	".C:hpf"	"leachate.C:hpf"	1.65678055771088	0	0.668833256207422	0.0132447183947888	0.53614620062105	0.0263140142242203	0.740947242629361	NA	"prevalence"	63	25
