"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",8,72398.9822025743,0.368502746261468,3.93888258822864,0.001
"Residual",54,124068.976142584,0.631497253738532,NA,NA
"Total",62,196467.958345158,1,NA,NA
