"","Df","SumOfSqs","R2","F","Pr(>F)"
"leachate",3,7663.46364982207,0.0390061754312058,0.835554867257104,0.06
"stage",2,23451.0984248029,0.119363475969978,3.83534397631502,0.001
"leachate:stage",6,9434.39304020667,0.048020008553416,0.514320507316835,0.998
"Residual",51,155919.003230326,0.7936103400454,NA,NA
"Total",62,196467.958345158,1,NA,NA
