"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",12,79576.2420659722,0.40503419863595,2.83653697480978,0.001
"Residual",50,116891.716279186,0.59496580136405,NA,NA
"Total",62,196467.958345158,1,NA,NA
