"","Df","SumOfSqs","R2","F","Pr(>F)"
"leachate",3,7663.46364982207,0.0390061754312058,0.86140367667214,0.061
"hpf",1,20874.9777278129,0.106251308883352,7.03929060808082,0.001
"leachate:hpf",3,4827.31832953642,0.0245705120071321,0.542609705942304,0.933
"Residual",55,163102.198637986,0.83017200367831,NA,NA
"Total",62,196467.958345158,1,NA,NA
