feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.4.2.1.17	leachate	leachate	-0.00477863221292516	0.0105356691991748	63	63	0.651900940067786	0.780213864302014
EC.6.3.4.4	timepoint	timepoint	-0.00166541087368767	0.00366862394182227	63	63	0.651793455492327	0.780213864302014
EC.6.5.1.4	leachate	leachate	0.0688473793770253	0.151699678887654	63	63	0.651851470459306	0.780213864302014
EC.3.4.11.7	leachate	leachate	-0.0894511505889786	0.19751283539912	63	62	0.652263030618332	0.780433874842049
EC.2.1.3.11	leachate	leachate	0.0445459836922304	0.0984646556314094	63	63	0.652814364864852	0.780880133709924
EC.4.3.1.19	leachate	leachate	0.00583248806048249	0.0129074851043413	63	63	0.653317204897377	0.781268157072034
EC.1.1.3.6	leachate	leachate	0.0271580671960975	0.0602136437095364	63	63	0.653917259828871	0.781558767002674
EC.6.3.1.10	leachate	leachate	0.00143109818731324	0.00317276728898117	63	63	0.653802995729854	0.781558767002674
EC.1.1.5.4	leachate	leachate	0.0142924750129524	0.031772508974637	63	63	0.654611728986843	0.782175259144214
EC.2.1.1.186	leachate	leachate	0.00625856744660703	0.0139281894988243	63	63	0.655134853577394	0.782586736415233
EC.2.7.7.15	leachate	leachate	-0.156938700593251	0.349727675013605	63	53	0.655345543734548	0.782624874650805
EC.3.4.13.9	leachate	leachate	0.00845090458520703	0.0189141440013755	63	63	0.656819910289478	0.784057338001426
EC.3.5.4.33	timepoint	timepoint	-0.00405718733304373	0.00908620627016965	63	63	0.656903224255192	0.784057338001426
EC.2.6.1.66	leachate	leachate	0.00543176559140634	0.0122197245635296	63	63	0.658603117476664	0.78587202188957
EC.2.7.1.176	leachate	leachate	-0.105001331244401	0.237217246813505	63	19	0.659619379875393	0.786870203023017
EC.1.3.1.44	leachate	leachate	0.00540514313252188	0.0122142024035778	63	63	0.660018886427732	0.787052850610999
EC.2.7.1.55	leachate	leachate	-0.112303250692325	0.254122700263777	63	55	0.660132039160253	0.787052850610999
EC.1.1.1.289	leachate	leachate	-0.0792018589118496	0.179536914942393	63	15	0.660693447316647	0.787221855392292
EC.2.1.1.174	leachate	leachate	0.0295958534121818	0.0670644157013721	63	63	0.660711014083256	0.787221855392292
EC.2.3.1.16	leachate	leachate	0.00582508987788102	0.0132038707727154	63	63	0.660813229457897	0.787221855392292
EC.2.6.1.36	leachate	leachate	0.0707027462052934	0.161839120673143	63	60	0.664010476425793	0.790815523882514
EC.2.7.1.47	leachate	leachate	-0.0680326593961007	0.155928987177389	63	63	0.664384010192685	0.790830124149966
EC.3.6.3.21	leachate	leachate	-0.0152965156661569	0.0350558352235521	63	63	0.664347884660871	0.790830124149966
EC.2.7.8.36	leachate	leachate	-0.124018165131662	0.284884237695561	63	41	0.66500639567393	0.791140760940344
EC.4.3.1.3	leachate	leachate	-0.00545201334317173	0.0125176970225899	63	63	0.664940631287361	0.791140760940344
EC.3.6.1.11	leachate	leachate	-0.00452514047442213	0.0104169914232872	63	63	0.665729504519899	0.791570823136371
EC.3.6.1.40	leachate	leachate	-0.00452514047442213	0.0104169914232872	63	63	0.665729504519899	0.791570823136371
EC.3.1.1.7	leachate	leachate	-0.0808935624188143	0.187107895593751	63	23	0.667249393273194	0.793162596728222
EC.1.4.1.18	leachate	leachate	-0.158825763689223	0.367889028333327	63	34	0.6674909540803	0.793234363996622
EC.6.3.4.15	leachate	leachate	0.000996954940522782	0.00230918543528302	63	63	0.667758351079338	0.793336787252468
EC.1.14.13.165	leachate	leachate	-0.0887828112154503	0.207758072933444	63	62	0.670663282536719	0.796571853213716
EC.1.1.1.34	leachate	leachate	-0.0125464927592773	0.0293855544319623	63	63	0.67112284686951	0.796901498127127
EC.2.1.1.104	leachate	leachate	0.0221867508777595	0.0520117491266634	63	63	0.671491384839572	0.797122907491228
EC.2.8.3.18	leachate	leachate	-0.039327179304789	0.0922525794698511	63	63	0.671692360669254	0.797145338847925
EC.1.1.1.203	leachate	leachate	0.0151854278578493	0.0356813000723234	63	63	0.672174431598286	0.79750126328924
EC.1.13.11.20	timepoint	timepoint	-0.113013506741623	0.265896394015475	63	55	0.672449055537344	0.797610936099293
EC.3.5.1.41	leachate	leachate	-0.108669062237374	0.256654990886336	63	52	0.673513560826224	0.798657196451032
EC.5.4.99.16	leachate	leachate	-0.0738882165838026	0.174972732340557	63	63	0.674612645303567	0.799743883330359
EC.1.4.1.13	leachate	leachate	-0.00191672418623223	0.00456032104063389	63	63	0.6759800593378	0.800931177207277
EC.1.4.1.14	leachate	leachate	-0.00191672418623223	0.00456032104063389	63	63	0.6759800593378	0.800931177207277
EC.1.1.1.41	leachate	leachate	0.0298820998323422	0.0713500786741132	63	63	0.676965182484533	0.80188137687156
EC.1.1.1.216	timepoint	timepoint	0.0554690882039223	0.132601671031327	63	7	0.677529560801734	0.802332815036514
EC.5.3.1.16	leachate	leachate	-0.000995426091485955	0.00238855719398566	63	63	0.678689897591874	0.803489554261013
EC.2.6.1.78	leachate	leachate	0.0934456206932471	0.224888849090315	63	13	0.679244214192991	0.803711126955922
EC.2.6.1.79	leachate	leachate	0.0934456206932471	0.224888849090315	63	13	0.679244214192991	0.803711126955922
EC.3.2.1.65	leachate	leachate	-0.100638888760989	0.242437042134884	63	58	0.679637009401779	0.803958613121045
EC.1.97.1.9	leachate	leachate	-0.102371720475628	0.246838893436436	63	60	0.680136803823721	0.804332503279376
EC.2.5.1.39	leachate	leachate	-0.00151558110591832	0.00366580371499962	63	63	0.681003132513115	0.805139539330925
EC.2.1.2.5	leachate	leachate	-0.10387475440012	0.251933783241576	63	60	0.68173997096385	0.805793086630599
EC.2.4.1.1	leachate	leachate	0.0147096284073781	0.0357110137137891	63	63	0.681976806408579	0.805832881697465
EC.4.2.1.19	leachate	leachate	0.000977937025098071	0.00237436501870024	63	63	0.682141767832527	0.805832881697465
EC.3.5.1.46	timepoint	timepoint	0.0266607908167345	0.0648761034102713	63	63	0.682676582716268	0.806029686928754
EC.6.3.2.35	leachate	leachate	0.111831019588804	0.272048579351743	63	7	0.682623672099316	0.806029686928754
EC.1.14.14.5	timepoint	timepoint	0.0489284023983842	0.119641253314262	63	63	0.684245130484581	0.80744614050175
EC.4.2.1.99	leachate	leachate	0.00377841872944118	0.00923073900587945	63	63	0.684063442941093	0.80744614050175
EC.3.4.21.62	leachate	leachate	0.148933303000616	0.365265423124858	63	50	0.684915879657267	0.808019865572491
EC.2.3.1.57	leachate	leachate	-0.019047582101858	0.0467841173292915	63	63	0.685600452337344	0.808391807253674
EC.2.8.1.7	leachate	leachate	0.00185208834432195	0.00454770687858885	63	63	0.685447552369204	0.808391807253674
EC.5.1.99.6	timepoint	timepoint	0.00325937517774314	0.00802354375185361	63	63	0.686226552064168	0.80891218226627
EC.1.14.12.1	leachate	leachate	-0.0500388789711205	0.124437285711352	63	61	0.689023731078998	0.810899434049423
EC.1.8.4.11	leachate	leachate	0.00288744643874232	0.00716496140570648	63	63	0.688548950356613	0.810899434049423
EC.2.1.1.191	leachate	leachate	-0.00346358745683898	0.00858356282070669	63	63	0.688265037417074	0.810899434049423
EC.2.5.1.18	leachate	leachate	0.00466515038804737	0.0115709914769034	63	63	0.688553648153211	0.810899434049423
EC.3.4.21.96	leachate	leachate	-0.0925592509826528	0.22998010297052	63	60	0.688897346485689	0.810899434049423
EC.3.7.1.20	timepoint	timepoint	0.018047224000459	0.044809200625473	63	63	0.688756011863469	0.810899434049423
EC.2.10.1.1	leachate	leachate	-0.00598986753533253	0.0149062139588414	63	63	0.689408680007877	0.810916496795939
EC.4.2.1.108	leachate	leachate	0.0127434304120734	0.0317121885787332	63	63	0.689372054246794	0.810916496795939
EC.1.20.9.1	leachate	leachate	-0.120912588078288	0.301704235128419	63	28	0.690189268159714	0.811398661655002
EC.3.5.99.10	leachate	leachate	-0.0179119890831027	0.0446653076723176	63	63	0.690095042284099	0.811398661655002
EC.5.4.99.25	leachate	leachate	0.000926120864004262	0.00232963039632258	63	63	0.692632926419552	0.814052872983839
EC.2.4.2.3	leachate	leachate	-0.0167660296505956	0.0422346577126603	63	63	0.692971746098213	0.814232502527637
EC.2.8.3.21	leachate	leachate	-0.098730821811179	0.248984471897149	63	57	0.693211018789198	0.81429510068664
EC.6.1.1.11	leachate	leachate	0.00096601606864051	0.0024436339066879	63	63	0.694229012428373	0.815053530815612
EC.6.3.4.6	leachate	leachate	0.0292581153991096	0.0739504957295343	63	63	0.694050923345335	0.815053530815612
EC.1.3.1.98	leachate	leachate	0.000906198781679965	0.00230590279273723	63	63	0.695966875917766	0.8166579822971
EC.2.4.1.52	leachate	leachate	-0.0817524414984183	0.208206318155236	63	62	0.695968691628708	0.8166579822971
EC.3.6.1.15	leachate	leachate	-0.0970571845959244	0.247392265305283	63	21	0.696322224761354	0.81685388531758
EC.3.7.1.22	leachate	leachate	0.0191422425164974	0.0487897537210376	63	63	0.696537531589619	0.816887573881424
EC.3.1.3.78	leachate	leachate	0.115650247248315	0.29544089974651	63	39	0.69698506622211	0.81719352434933
EC.3.2.1.24	leachate	leachate	0.0469414115483435	0.120240484431059	63	63	0.697865796584698	0.818007083654032
EC.1.14.11.17	leachate	leachate	0.0184817201938381	0.0475514159999383	63	63	0.699124720400263	0.818868096909029
EC.1.14.13.111	leachate	leachate	0.04857809374341	0.125040367117494	63	6	0.699106247200014	0.818868096909029
EC.6.1.1.21	leachate	leachate	0.000897038066949163	0.00230813600000649	63	63	0.699161476986284	0.818868096909029
EC.2.7.2.8	leachate	leachate	0.000934666915107775	0.00241132183563255	63	63	0.699899367407497	0.819504242961115
EC.3.5.4.29	leachate	leachate	-0.0773726117958547	0.199816499146175	63	28	0.700079001524571	0.819504242961115
EC.3.2.1.1	leachate	leachate	0.0177850672629471	0.0459936344913049	63	63	0.700580993740682	0.819872651856912
EC.2.4.1.246	timepoint	timepoint	0.115861382488434	0.300345060058636	63	43	0.7010895713072	0.820248568461497
EC.1.13.11.16	leachate	leachate	-0.100218303950047	0.260843666469002	63	60	0.70247714144174	0.82165239787121
EC.2.6.1.105	leachate	leachate	0.0848262476027314	0.221192694529342	63	10	0.70270844339721	0.821703409506674
EC.4.2.3.5	leachate	leachate	0.000885511706281997	0.00231659446326575	63	63	0.70387268296376	0.822845021632935
EC.2.8.4.3	leachate	leachate	0.000885540190065727	0.00231837502091271	63	63	0.704081714184233	0.82286965955648
