"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"HCAMHPDEG-PWY"	"leachate"	".C"	"leachate.C"	-1.03891432057083	-0.00983066137543186	0.343334068970666	0.00430126934919883	0.0947098546223589	0.0085840377803833	0.142326412126534	NA	"abundance"	63	61
"PWY-6690"	"leachate"	".C"	"leachate.C"	-1.03891432057083	-0.00983066137543186	0.343334068970666	0.00429553635936286	0.0947098546223589	0.00857262108611111	0.142326412126534	NA	"abundance"	63	61
"PWY-7948"	"hpf"	"hpf"	"hpf"	-0.884208705262408	-0.0151391281227661	0.254424253302358	0.00441441264102488	0.0967404931379101	0.00441441264102488	0.081975642743832	NA	"abundance"	63	22
"PWY-7392"	"hpf"	"hpf"	"hpf"	0.212801901423901	-0.0151391281227661	0.0700019679528665	0.00469307627096917	0.10236219187246	0.00469307627096917	0.0867168421411916	NA	"abundance"	63	63
"PWY-5741"	"leachate"	".L"	"leachate.L"	-0.427776590280876	-0.0231971033960026	0.130018358959362	0.0050501485600888	0.109120967017993	0.0050501485600888	0.0928527314463851	NA	"abundance"	63	63
"ARGDEG-PWY"	"hpf"	"hpf"	"hpf"	-0.629614310630014	-0.0151391281227661	0.205773451441632	0.00664808111405258	0.134316564507147	0.000583626119608591	0.0129795653187204	NA	"abundance"	63	35
"ORNARGDEG-PWY"	"hpf"	"hpf"	"hpf"	-0.629614310630014	-0.0151391281227661	0.205773451441632	0.00665192328549671	0.134316564507147	0.000583626119608591	0.0129795653187204	NA	"abundance"	63	35
"PWY-5209"	"leachate"	".Q"	"leachate.Q"	-0.953443968852643	-0.0158841404940194	0.557950492818187	0.100221248359784	0.788134442883744	0	0	NA	"abundance"	63	57
"PWY-1882"	"leachate"	".Q"	"leachate.Q"	-0.793224450741491	-0.0158841404940194	0.466035385205459	0.102838236195994	0.793606601239545	0	0	NA	"abundance"	63	58
"PWY-7784"	"leachate"	".C:hpf"	"leachate.C:hpf"	-0.555771680498113	-0.0246241323374316	0.317549872307999	0.102412771906727	0.793606601239545	1.913681407928e-257	7.89712527671623e-255	NA	"abundance"	63	57
"PWY-1882"	"leachate"	".C"	"leachate.C"	0.718060795758049	-0.00983066137543186	0.466185437146603	0.125578735213281	0.869720170085229	4.27338173649356e-06	0.000146956849716084	NA	"abundance"	63	58
"PWY-5209"	"leachate"	".C"	"leachate.C"	0.833649925987395	-0.00983066137543186	0.560378022290953	0.139386043970427	0.903247308178868	8.71202346877635e-108	2.48895808946426e-105	NA	"abundance"	63	57
"P164-PWY"	"hpf"	"hpf"	"hpf"	-0.421382213292843	0	0.290167032795055	0.146444423714364	0.913844824905827	0.00157108973580101	0.0327810521278931	NA	"prevalence"	63	38
"PWY-1882"	"hpf"	"hpf"	"hpf"	0.302860628233737	-0.0151391281227661	0.236787757113908	0.189596360869352	0.977432218436799	5.06576558607191e-29	1.10672078745124e-26	NA	"abundance"	63	58
"PWY-7784"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	0.426745457607315	-0.00121860439094369	0.315428842177274	0.183366268441912	0.977432218436799	0	0	NA	"abundance"	63	57
"PWY-7784"	"leachate"	".L:hpf"	"leachate.L:hpf"	0.40734131057284	0.00754027817894577	0.313204833176883	0.212096825830498	0.984567976914001	1.04724611738452e-76	2.59298138664407e-74	NA	"abundance"	63	57
"PWY-1882"	"leachate"	".C:hpf"	"leachate.C:hpf"	-0.12626871121286	-0.0246241323374316	0.470906623498454	0.830331423147147	1	5.59534754308474e-163	1.88919279772879e-160	NA	"abundance"	63	58
"PWY-1882"	"leachate"	".L"	"leachate.L"	0.327532086197909	-0.0231971033960026	0.465080077719304	0.456526625949147	1	0.00513798749236757	0.0940023918554343	NA	"abundance"	63	58
"PWY-1882"	"leachate"	".L:hpf"	"leachate.L:hpf"	0.352039158146644	0.00754027817894577	0.476652749441631	0.475087768763207	1	5.73613930786007e-31	1.33150133683702e-28	NA	"abundance"	63	58
"PWY-1882"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-0.389541776341647	-0.00121860439094369	0.474001185577463	0.417678975305948	1	5.1655188434572e-245	1.91847369846e-242	NA	"abundance"	63	58
"PWY-5182"	"leachate"	".L:hpf"	"leachate.L:hpf"	-0.00745011874889288	0.00754027817894577	0.60899254745965	0.980592340246838	1	0.00369071344624906	0.0702938960993282	NA	"abundance"	63	36
"PWY-5209"	"hpf"	"hpf"	"hpf"	0.173498282189253	-0.0151391281227661	0.285371074855562	0.514441492467183	1	0	0	NA	"abundance"	63	57
"PWY-5209"	"leachate"	".C:hpf"	"leachate.C:hpf"	-0.45872478538765	-0.0246241323374316	0.578257041451602	0.457113981127092	1	1.913681407928e-257	7.89712527671623e-255	NA	"abundance"	63	57
"PWY-5209"	"leachate"	".L"	"leachate.L"	0.390920687032252	-0.0231971033960026	0.554629203541767	0.460428512655739	1	1.95696430209421e-13	3.3108363992954e-11	NA	"abundance"	63	57
"PWY-5209"	"leachate"	".L:hpf"	"leachate.L:hpf"	0.410841559178507	0.00754027817894577	0.56836797327821	0.482643012736764	1	1.04724611738452e-76	2.59298138664407e-74	NA	"abundance"	63	57
"PWY-5209"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-0.356150811951741	-0.00121860439094369	0.57525838225858	0.540764289149898	1	0	0	NA	"abundance"	63	57
"PWY-7784"	"leachate"	".C"	"leachate.C"	-0.326125800233472	-0.00983066137543186	0.308828400327298	0.312592369588605	1	8.71202346877635e-108	2.48895808946426e-105	NA	"abundance"	63	57
"PWY-7784"	"leachate"	".L"	"leachate.L"	-0.104196727406158	-0.0231971033960026	0.305762286289008	0.794381655491176	1	1.95696430209421e-13	3.3108363992954e-11	NA	"abundance"	63	57
"PWY-7784"	"leachate"	".Q"	"leachate.Q"	0.131385556502859	-0.0158841404940194	0.307319917544771	0.636181435969062	1	0	0	NA	"abundance"	63	57
"TOLUENE-DEG-3-OH-PWY"	"leachate"	".L:hpf"	"leachate.L:hpf"	-0.00781603735835185	0.00754027817894577	0.609598259563297	0.980136355675122	1	0.00369071344624906	0.0702938960993282	NA	"abundance"	63	36
"CODH-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	4.99594530686533e-13	7.7312253623741e-11	NA	"prevalence"	63	62
"DARABCATK12-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.05243291191324e-06	7.85849055138739e-05	NA	"prevalence"	63	62
"DHGLUCONATE-PYR-CAT-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	8.57902345159776e-10	8.85069252756502e-08	NA	"prevalence"	63	62
"ECASYN-PWY"	"hpf"	"hpf"	"hpf"	-8.33256584322599	0	56.9546552233446	0.883683182851849	1	0.000190263023176882	0.00461854162143097	NA	"prevalence"	63	59
"FUC-RHAMCAT-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.13775904283339e-07	1.0586182780111e-05	NA	"prevalence"	63	62
"FUCCAT-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.84726493589516e-06	7.37714190528453e-05	NA	"prevalence"	63	62
"GALACTITOLCAT-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	3.2483738007014e-06	0.000119139957802079	NA	"prevalence"	63	62
"GLYCOL-GLYOXDEG-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.56873869017625e-06	6.37265646578394e-05	NA	"prevalence"	63	62
"HCAMHPDEG-PWY"	"hpf"	"hpf"	"hpf"	-9.68556739247266	0	437537.881878203	0.999982337610057	1	6.25751036708478e-07	2.80004741004252e-05	NA	"prevalence"	63	61
"HEXITOLDEGSUPER-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.86939644202375e-09	2.47835776411075e-07	NA	"prevalence"	63	62
"LACTOSECAT-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.44124417496136e-05	0.000449813518134999	NA	"prevalence"	63	62
"LIPA-CORESYN-PWY"	"hpf"	"hpf"	"hpf"	-4.13239222098337	0	20.5392026215966	0.840545821194356	1	4.25214377665544e-10	4.64484176073479e-08	NA	"prevalence"	63	54
"LPSSYN-PWY"	"hpf"	"hpf"	"hpf"	-4.13239222098337	0	20.5392026215966	0.840545821194356	1	4.22321498401202e-10	4.64484176073479e-08	NA	"prevalence"	63	54
"METH-ACETATE-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.96118472763863e-13	3.3108363992954e-11	NA	"prevalence"	63	62
"NAD-BIOSYNTHESIS-II"	"hpf"	"hpf"	"hpf"	-4.84559089243439	0	93285.1365959534	0.999958554789108	1	6.42045191484231e-07	2.83875695377671e-05	NA	"prevalence"	63	60
"P105-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	4.75890236620063e-09	3.60705375266717e-07	NA	"prevalence"	63	62
"P163-PWY"	"hpf"	"hpf"	"hpf"	-2.53230910569926	0	58.761945278675	0.965626305946725	1	7.57609671238069e-05	0.00199557611275049	NA	"prevalence"	63	53
"P461-PWY"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.62445448577182e-09	1.54698050260424e-07	NA	"prevalence"	63	62
"PWY-2941"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	3.36336276453164e-06	0.000121276983567675	NA	"prevalence"	63	62
"PWY-5005"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.34337303795305e-08	1.45054791049294e-06	NA	"prevalence"	63	62
"PWY-5179"	"hpf"	"hpf"	"hpf"	-14.74222631312	0	307993.607660968	0.999961808964634	1	0.000201519174324195	0.00482865944154878	NA	"prevalence"	63	59
"PWY-5265"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	7.39728638475259e-06	0.00023684070373251	NA	"prevalence"	63	62
"PWY-561"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.04228766072572e-08	6.77667661297428e-07	NA	"prevalence"	63	62
"PWY-6263"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.18293511823969e-09	1.15616342872163e-07	NA	"prevalence"	63	62
"PWY-6328"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	4.84953135892232e-08	2.68823275627425e-06	NA	"prevalence"	63	62
"PWY-6342"	"hpf"	"hpf"	"hpf"	-1.81412556034009	0	7.58254271566451	0.810911507240273	1	1.87135033245344e-06	7.39382461141709e-05	NA	"prevalence"	63	54
"PWY-6344"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.19171529775935e-06	4.97306810772834e-05	NA	"prevalence"	63	62
"PWY-6397"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.46252311432114e-09	2.23068557233871e-07	NA	"prevalence"	63	62
"PWY-6404"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.07506675713094e-09	1.92669948399608e-07	NA	"prevalence"	63	62
"PWY-6421"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	9.20494919955584e-09	6.21585115039098e-07	NA	"prevalence"	63	62
"PWY-6470"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	2.64075649180668e-06	0.00010007928174051	NA	"prevalence"	63	62
"PWY-6471"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	6.69382744624443e-08	3.60302538193504e-06	NA	"prevalence"	63	62
"PWY-6581"	"hpf"	"hpf"	"hpf"	1.49226919225659	0	102.840286863879	0.988422661942208	1	0.000115625387782873	0.00294131979606568	NA	"prevalence"	63	62
"PWY-6690"	"hpf"	"hpf"	"hpf"	-9.68556739247266	0	437537.881878203	0.999982337610057	1	6.25522262334049e-07	2.80004741004252e-05	NA	"prevalence"	63	61
"PWY-6837"	"hpf"	"hpf"	"hpf"	-2.40205205396804	0	143.890418510998	0.986681036480454	1	1.05828552383551e-08	6.77667661297428e-07	NA	"prevalence"	63	62
"PWY-6944"	"hpf"	"hpf"	"hpf"	-5.03795905670959	0	152.571864781156	0.973658450054753	1	0.00361866818712588	0.0699986127447162	NA	"prevalence"	63	61
"PWY-6946"	"hpf"	"hpf"	"hpf"	-5.03795905670959	0	152.571864781156	0.973658450054753	1	7.93630527386108e-09	5.45841440502223e-07	NA	"prevalence"	63	61
"PWY-6948"	"hpf"	"hpf"	"hpf"	-5.03795905670959	0	152.571864781156	0.973658450054753	1	5.34884871591042e-07	2.48320301636141e-05	NA	"prevalence"	63	61
